strain	virus	genbank_accession	date	region	iso	country	division	location	segment	length	host	lab
GU131863	Dengue virus 	GU131863	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10532.0	Homo sapiens	
KP858111	Dengue virus 	KP858111	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
KP858112	Dengue virus 	KP858112	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
KY818288	Dengue virus 	KY818288	2012-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KP858113	Dengue virus 	KP858113	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
KP858114	Dengue virus 	KP858114	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
KP903779	Dengue virus 	KP903779	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
KP858107	Dengue virus 	KP858107	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
KP903781	Dengue virus 	KP903781	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
HM450090	Dengue virus 1	HM450090	2002-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Mato Grosso		partial	2326.0	Homo sapiens	
HM450092	Dengue virus 1	HM450092	2002-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Piaui		partial	2326.0	Homo sapiens	
KY818234	Dengue virus 	KY818234	2013-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
HM450096	Dengue virus 1	HM450096	2003-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Maranhao		partial	2326.0	Homo sapiens	
JF804014	Dengue virus 1	JF804014	2003-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1480.0	Homo sapiens	
KF444780	Dengue virus 1	KF444780	2009-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
KF444781	Dengue virus 1	KF444781	2009-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
KF444782	Dengue virus 1	KF444782	2009-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
KF444783	Dengue virus 1	KF444783	2009-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
HM450091	Dengue virus 1	HM450091	2002-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Mato Grosso		partial	2326.0	Homo sapiens	
KF444784	Dengue virus 1	KF444784	2009-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
KF444790	Dengue virus 1	KF444790	2009-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
KF444791	Dengue virus 1	KF444791	2009-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
FJ850075	Dengue virus 	FJ850075	2002-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10683.0	Homo sapiens	
HM450105	Dengue virus 1	HM450105	2002-XX-XX	Brazil-North	BRA	Brazil	BRA/Amazonas		partial	2326.0	Homo sapiens	
HM450095	Dengue virus 1	HM450095	2002-XX-XX	Brazil-North	BRA	Brazil	BRA/Amazonas		partial	2326.0	Homo sapiens	
KF672764	Dengue virus 1	KF672764	2001-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	10176.0	Homo sapiens	
HM450093	Dengue virus 1	HM450093	2002-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Piaui		partial	2326.0	Homo sapiens	
KF444785	Dengue virus 1	KF444785	2009-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
HM450094	Dengue virus 1	HM450094	2002-XX-XX	Brazil-North	BRA	Brazil	BRA/Tocantins		partial	2326.0	Homo sapiens	
MH401975	Dengue virus 1	MH401975	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	1485.0	Homo sapiens	
FJ850090	Dengue virus 	FJ850090	2007-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10673.0	Homo sapiens	
HM450082	Dengue virus 1	HM450082	1997-XX-XX	Brazil-North	BRA	Brazil	BRA/Para		partial	2326.0	Homo sapiens	
KU509311	Dengue virus 1	KU509311	2014-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1485.0	Homo sapiens	
KF672761	Dengue virus 1	KF672761	1988-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	10176.0	Homo sapiens	
JX669466	Dengue virus 	JX669466	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10737.0	Homo sapiens	
JX669465	Dengue virus 	JX669465	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10736.0	Homo sapiens	
JX669464	Dengue virus 	JX669464	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10736.0	Homo sapiens	
JX669463	Dengue virus 	JX669463	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10735.0	Homo sapiens	
JX669462	Dengue virus 	JX669462	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10737.0	Homo sapiens	
JX669461	Dengue virus 	JX669461	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10736.0	Homo sapiens	
KP188547	Dengue virus 1	KP188547	2013-01-05	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Sao Jose do Rio Preto	complete	10776.0	Homo sapiens	
KP188548	Dengue virus 1	KP188548	2013-01-14	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Sao Jose do Rio Preto	complete	10647.0	Homo sapiens	
KP188546	Dengue virus 1	KP188546	2013-02-04	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10663.0	Homo sapiens	
KF444789	Dengue virus 1	KF444789	2008-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
KF444792	Dengue virus 1	KF444792	2010-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
HM450081	Dengue virus 1	HM450081	1997-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	2326.0	Homo sapiens	
KF672774	Dengue virus 1	KF672774	1998-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
KF672776	Dengue virus 1	KF672776	1998-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	2325.0	Homo sapiens	
KF672777	Dengue virus 1	KF672777	1998-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	2325.0	Homo sapiens	
KF672779	Dengue virus 1	KF672779	1998-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Espirito Santo		partial	2325.0	Homo sapiens	
KF444788	Dengue virus 1	KF444788	2010-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
KF444787	Dengue virus 1	KF444787	2010-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
JX669470	Dengue virus 	JX669470	1998-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10728.0	Homo sapiens	
KF444786	Dengue virus 1	KF444786	2010-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	1485.0	Homo sapiens	
KF672786	Dengue virus 1	KF672786	2010-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
KF672785	Dengue virus 1	KF672785	2010-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Espirito Santo		partial	2325.0	Homo sapiens	
KF672768	Dengue virus 1	KF672768	2010-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	2325.0	Homo sapiens	
KF672759	Dengue virus 1	KF672759	2010-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	10176.0	Homo sapiens	
KF719187	Dengue virus 1	KF719187	2010-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Espirito Santo		partial	2325.0	Homo sapiens	
HQ026760	Dengue virus 1	HQ026760	1986-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ603916	Dengue virus 	HQ603916	1986-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0		
KF672775	Dengue virus 1	KF672775	1998-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Ceara		partial	2325.0	Homo sapiens	
KP188567	Dengue virus 1	KP188567	2013-02-26	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10618.0	Homo sapiens	
KP188542	Dengue virus 1	KP188542	2011-06-08	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10607.0	Homo sapiens	
JX669469	Dengue virus 	JX669469	1997-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10736.0	Homo sapiens	
KP188544	Dengue virus 1	KP188544	2012-03-16	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Sao Jose do Rio Preto	complete	10917.0	Homo sapiens	
JQ015184	Dengue virus 1	JQ015184	2010-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Alagoas		partial	2325.0	Homo sapiens	
JQ015185	Dengue virus 1	JQ015185	2010-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Alagoas		partial	2325.0	Homo sapiens	
JN982362	Dengue virus 1	JN982362	2010-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Ceara		partial	2325.0	Homo sapiens	
JN713897	Dengue virus 1	JN713897	2010-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	2325.0	Aedes aegypti	
HM450079	Dengue virus 1	HM450079	1994-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Ceara		partial	2326.0	Homo sapiens	
MH401976	Dengue virus 1	MH401976	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	1485.0	Homo sapiens	
MN567709	Dengue virus V	MN567709	2019-03-27	Brazil-Southeast	BRA	Brazil	BRA/Espirito Santo		partial	8413.0	Aedes albopictus	
JN122281	Dengue virus 1	JN122281	2011-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
KP903770	Dengue virus 	KP903770	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
JX669467	Dengue virus 	JX669467	1996-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10737.0	Homo sapiens	
HM450080	Dengue virus 1	HM450080	1996-XX-XX	Brazil-North	BRA	Brazil	BRA/Para		partial	2326.0	Homo sapiens	
HM450077	Dengue virus 1	HM450077	2007-XX-XX	Brazil-North	BRA	Brazil	BRA/Para		partial	2326.0	Aedes aegypti	
HM450078	Dengue virus 1	HM450078	2007-XX-XX	Brazil-North	BRA	Brazil	BRA/Para		partial	2326.0	Aedes aegypti	
KF672762	Dengue virus 1	KF672762	1989-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	10176.0	Homo sapiens	
HM450101	Dengue virus 1	HM450101	2007-XX-XX	Brazil-North	BRA	Brazil	BRA/Para		partial	2326.0	Homo sapiens	
KP188540	Dengue virus 1	KP188540	2011-05-03	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10699.0	Homo sapiens	
HM450103	Dengue virus 1	HM450103	2007-XX-XX	Brazil-North	BRA	Brazil	BRA/Amazonas		partial	2326.0	Homo sapiens	
KP188541	Dengue virus 1	KP188541	2011-05-24	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10490.0	Homo sapiens	
KF672791	Dengue virus 1	KF672791	1991-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	1485.0	Homo sapiens	
HQ696612	Dengue virus 1	HQ696612	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ696613	Dengue virus 1	HQ696613	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ696614	Dengue virus 1	HQ696614	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
KF672769	Dengue virus 1	KF672769	1997-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	2325.0	Homo sapiens	
HQ026762	Dengue virus 1	HQ026762	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
KF672770	Dengue virus 1	KF672770	1997-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	2325.0	Homo sapiens	
KF672771	Dengue virus 1	KF672771	1997-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
KF672772	Dengue virus 1	KF672772	1997-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
KF672773	Dengue virus 1	KF672773	1997-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Rio Grande do Norte		partial	2325.0	Homo sapiens	
JX669468	Dengue virus 	JX669468	1997-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10736.0	Homo sapiens	
HM450102	Dengue virus 1	HM450102	2007-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	2326.0	Homo sapiens	
JN122280	Dengue virus 1	JN122280	1986-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
KF672778	Dengue virus 1	KF672778	1998-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Espirito Santo		partial	2325.0	Homo sapiens	
KF672782	Dengue virus 1	KF672782	2000-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
KF672780	Dengue virus 1	KF672780	1999-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
KP858105	Dengue virus 	KP858105	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
MH311981	Dengue virus 	MH311981	2012-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
KF672781	Dengue virus 1	KF672781	1999-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
FJ850070	Dengue virus 	FJ850070	2000-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10677.0	Homo sapiens	
KF672760	Dengue virus 1	KF672760	2011-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	10176.0	Homo sapiens	
KP858106	Dengue virus 	KP858106	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
HM450084	Dengue virus 1	HM450084	2000-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Mato Grosso		partial	2326.0	Homo sapiens	
KF672763	Dengue virus 1	KF672763	2000-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Espirito Santo		partial	10176.0	Homo sapiens	
KP188568	Dengue virus 1	KP188568	2014-02-10	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10607.0	Homo sapiens	
KF672792	Dengue virus 1	KF672792	1999-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
HM450085	Dengue virus 1	HM450085	2000-XX-XX	Brazil-North	BRA	Brazil	BRA/Acre		partial	2326.0	Homo sapiens	
HM450086	Dengue virus 1	HM450086	2000-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Ceara		partial	2326.0	Homo sapiens	
MH311982	Dengue virus 	MH311982	2012-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
JX669471	Dengue virus 	JX669471	1999-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10736.0	Homo sapiens	
HM450087	Dengue virus 1	HM450087	2000-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Ceara		partial	2326.0	Homo sapiens	
KF672765	Dengue virus 1	KF672765	2011-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
HM450083	Dengue virus 1	HM450083	1999-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Maranhao		partial	2326.0	Homo sapiens	
KF672766	Dengue virus 1	KF672766	2011-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
FJ850084	Dengue virus 	FJ850084	2005-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10686.0	Homo sapiens	
JX669472	Dengue virus 	JX669472	2000-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10736.0	Homo sapiens	
KP188539	Dengue virus 1	KP188539	2010-10-13	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10416.0	Homo sapiens	
KF672787	Dengue virus 1	KF672787	2000-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Piaui		partial	2325.0	Homo sapiens	
HM450104	Dengue virus 1	HM450104	2008-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	2326.0	Homo sapiens	
KF672767	Dengue virus 1	KF672767	2011-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
KF672790	Dengue virus 1	KF672790	2011-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
FJ850071	Dengue virus 	FJ850071	2000-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10685.0	Homo sapiens	
KF672784	Dengue virus 1	KF672784	2011-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
GQ868601	Dengue virus 	GQ868601	1985-XX-XX	Caribbean	VGB	British Virgin Islands	VGB/Tortola		complete	10690.0	Homo sapiens	
EU863650	Dengue virus 1	EU863650	2002-XX-XX	Southern South America	CHL	Chile	CHL/Easter Island		complete	10735.0	Homo sapiens	
MF173482	Dengue virus 	MF173482	2010-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
JQ581648	Dengue virus 	JQ581648	1998-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173487	Dengue virus 	MF173487	2009-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173485	Dengue virus 	MF173485	2010-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173484	Dengue virus 	MF173484	2010-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173486	Dengue virus 	MF173486	2009-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173483	Dengue virus 	MF173483	2010-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
KX901655	Dengue virus 	KX901655	2014-06-XX	Western South America	COL	Colombia	COL/Santander	Bucaramanga	partial	1485.0	Homo sapiens	
MF173460	Dengue virus 	MF173460	2010-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173459	Dengue virus 	MF173459	2010-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173458	Dengue virus 	MF173458	2010-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173457	Dengue virus 	MF173457	2009-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
KY818070	Dengue virus 	KY818070	2011-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
MF173488	Dengue virus 	MF173488	2000-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
KX901653	Dengue virus 	KX901653	2009-08-XX	Western South America	COL	Colombia	COL/Santander	Floridablanca	partial	1485.0	Homo sapiens	
MF817445	Dengue virus 	MF817445	2001-12-XX	Western South America	COL	Colombia	COL/Santander	Sabana de Torres	partial	1485.0	Homo sapiens	
MF817447	Dengue virus 	MF817447	2009-09-XX	Western South America	COL	Colombia	COL/Santander	Floridablanca	partial	1485.0	Homo sapiens	
MF173481	Dengue virus 	MF173481	2010-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173456	Dengue virus 	MF173456	2009-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173466	Dengue virus 	MF173466	2015-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
GQ868561	Dengue virus 	GQ868561	1999-XX-XX	Western South America	COL	Colombia	COL/Santander		complete	10673.0	Homo sapiens	
KX901654	Dengue virus 	KX901654	2010-03-XX	Western South America	COL	Colombia	COL/Santander	Floridablanca	partial	1485.0	Homo sapiens	
GQ868560	Dengue virus 	GQ868560	1998-XX-XX	Western South America	COL	Colombia	COL/Santander		complete	10690.0	Homo sapiens	
GQ868559	Dengue virus 	GQ868559	1998-XX-XX	Western South America	COL	Colombia	COL/Santander		complete	10690.0	Homo sapiens	
KY818144	Dengue virus 	KY818144	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
JQ581652	Dengue virus 	JQ581652	2002-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
KJ189303	Dengue virus 	KJ189303	1998-XX-XX	Western South America	COL	Colombia			complete	10445.0	Homo sapiens	
JQ581651	Dengue virus 	JQ581651	2001-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
KJ189302	Dengue virus 	KJ189302	1998-XX-XX	Western South America	COL	Colombia			complete	10445.0	Homo sapiens	
MF173455	Dengue virus 	MF173455	2009-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
JQ581632	Dengue virus 	JQ581632	2004-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173478	Dengue virus 	MF173478	2015-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173468	Dengue virus 	MF173468	2015-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173467	Dengue virus 	MF173467	2015-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
JQ581650	Dengue virus 	JQ581650	1999-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173465	Dengue virus 	MF173465	2015-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
KY818097	Dengue virus 	KY818097	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY818085	Dengue virus 	KY818085	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY818082	Dengue virus 	KY818082	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
JQ581649	Dengue virus 	JQ581649	1998-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
GU131948	Dengue virus 	GU131948	2001-XX-XX	Western South America	COL	Colombia	COL/Santander		complete	10627.0	Homo sapiens	
KY818066	Dengue virus 	KY818066	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY818094	Dengue virus 	KY818094	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY818224	Dengue virus 	KY818224	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
MF817448	Dengue virus 	MF817448	2016-04-XX	Western South America	COL	Colombia	COL/Santander	Floridablanca	partial	1485.0	Homo sapiens	
KY818227	Dengue virus 	KY818227	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KX901656	Dengue virus 	KX901656	2015-03-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
MF817446	Dengue virus 	MF817446	2015-04-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
KY818228	Dengue virus 	KY818228	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
GQ868564	Dengue virus 	GQ868564	2006-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander		complete	10690.0	Homo sapiens	
GQ868563	Dengue virus 	GQ868563	2006-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander		complete	10661.0	Homo sapiens	
KY818223	Dengue virus 	KY818223	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
GU131949	Dengue virus 	GU131949	2006-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander		complete	10486.0	Homo sapiens	
JQ581606	Dengue virus 	JQ581606	2006-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander	Ocana	partial	1485.0	Homo sapiens	
JQ581607	Dengue virus 	JQ581607	2006-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander	Ocana	partial	1485.0	Homo sapiens	
JQ581608	Dengue virus 	JQ581608	2006-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander	Ocana	partial	1485.0	Homo sapiens	
JQ581609	Dengue virus 	JQ581609	2006-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander	Ocana	partial	1485.0	Homo sapiens	
JQ581610	Dengue virus 	JQ581610	2006-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander	Ocana	partial	1485.0	Homo sapiens	
MF173480	Dengue virus 	MF173480	2013-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
MF173479	Dengue virus 	MF173479	2013-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
JQ581602	Dengue virus 	JQ581602	2008-XX-XX	Western South America	COL	Colombia	COL/Santander	Barrancabermeja	partial	1485.0	Homo sapiens	
MF817449	Dengue virus 	MF817449	2015-12-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
KY818222	Dengue virus 	KY818222	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY818219	Dengue virus 	KY818219	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY818217	Dengue virus 	KY818217	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY818083	Dengue virus 	KY818083	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY818081	Dengue virus 	KY818081	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY818080	Dengue virus 	KY818080	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
