strain	virus	genbank_accession	date	region	iso	country	division	location	segment	length	host	lab
JX669477	Dengue virus 	JX669477	2010-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10723.0	Homo sapiens	
KU728202	Dengue virus 2	KU728202	2008-XX-XX	Caribbean	VGB	British Virgin Islands			partial	1395.0	Homo sapiens	
KU728203	Dengue virus 2	KU728203	2008-XX-XX	Caribbean	VGB	British Virgin Islands			partial	1395.0	Homo sapiens	
KU728201	Dengue virus 2	KU728201	2008-XX-XX	Caribbean	VGB	British Virgin Islands			partial	1395.0	Homo sapiens	
KU728200	Dengue virus 2	KU728200	2008-XX-XX	Caribbean	VGB	British Virgin Islands			partial	1395.0	Homo sapiens	
KY851507	Dengue virus 	KY851507	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851393	Dengue virus 	KY851393	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851385	Dengue virus 	KY851385	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851384	Dengue virus 	KY851384	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY882532	Dengue virus 	KY882532	2012-XX-XX	Western South America	COL	Colombia			partial	1656.0	Homo sapiens	
KY882537	Dengue virus 	KY882537	2013-XX-XX	Western South America	COL	Colombia			partial	1962.0	Homo sapiens	
KY851383	Dengue virus 	KY851383	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851382	Dengue virus 	KY851382	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851381	Dengue virus 	KY851381	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851380	Dengue virus 	KY851380	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851379	Dengue virus 	KY851379	2014-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851378	Dengue virus 	KY851378	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
FJ024477	Dengue virus 	FJ024477	2004-XX-XX	Western South America	COL	Colombia	COL/Antioquia		complete	10647.0	Homo sapiens	
FJ024475	Dengue virus 	FJ024475	2005-XX-XX	Western South America	COL	Colombia	COL/Guaviare		complete	10640.0	Homo sapiens	
FJ024474	Dengue virus 	FJ024474	2005-XX-XX	Western South America	COL	Colombia	COL/Guaviare		complete	10640.0	Homo sapiens	
KY851395	Dengue virus 	KY851395	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851394	Dengue virus 	KY851394	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY882529	Dengue virus 	KY882529	2012-XX-XX	Western South America	COL	Colombia			partial	1750.0	Homo sapiens	
KY851397	Dengue virus 	KY851397	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851506	Dengue virus 	KY851506	2011-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851459	Dengue virus 	KY851459	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851458	Dengue virus 	KY851458	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851457	Dengue virus 	KY851457	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KX901652	Dengue virus 	KX901652	2015-03-XX	Western South America	COL	Colombia	COL/Santander	Giron	partial	1485.0	Homo sapiens	
KX901651	Dengue virus 	KX901651	2014-11-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
KY851508	Dengue virus 	KY851508	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851509	Dengue virus 	KY851509	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
JF804029	Dengue virus 2	JF804029	2007-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KX901650	Dengue virus 	KX901650	2014-09-XX	Western South America	COL	Colombia	COL/Santander	Bucaramanga	partial	1485.0	Homo sapiens	
KY851510	Dengue virus 	KY851510	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851511	Dengue virus 	KY851511	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851512	Dengue virus 	KY851512	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
FJ024473	Dengue virus 	FJ024473	2005-XX-XX	Western South America	COL	Colombia	COL/Guaviare		complete	10647.0	Homo sapiens	
KY851514	Dengue virus 	KY851514	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KX901649	Dengue virus 	KX901649	2010-09-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
KX901648	Dengue virus 	KX901648	2003-05-XX	Western South America	COL	Colombia	COL/Santander	Area Metropolitana	partial	1485.0	Homo sapiens	
KX901647	Dengue virus 	KX901647	2001-12-XX	Western South America	COL	Colombia	COL/Santander	Bucaramanga	partial	1485.0	Homo sapiens	
KX901646	Dengue virus 	KX901646	2000-08-XX	Western South America	COL	Colombia	COL/Santander	Bucaramanga	partial	1485.0	Homo sapiens	
KX901645	Dengue virus 	KX901645	1998-04-XX	Western South America	COL	Colombia	COL/Santander	Bucaramanga	partial	1485.0	Homo sapiens	
KY851460	Dengue virus 	KY851460	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851461	Dengue virus 	KY851461	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KJ189305	Dengue virus 	KJ189305	2000-XX-XX	Western South America	COL	Colombia			complete	10478.0	Homo sapiens	
KY851462	Dengue virus 	KY851462	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851463	Dengue virus 	KY851463	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851400	Dengue virus 	KY851400	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851399	Dengue virus 	KY851399	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851398	Dengue virus 	KY851398	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851396	Dengue virus 	KY851396	2013-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KY851513	Dengue virus 	KY851513	2012-XX-XX	Western South America	COL	Colombia			partial	1983.0	Homo sapiens	
KU878566	Dengue virus 2	KU878566	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778416	Dengue virus 	MK778416	2015-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
GQ868555	Dengue virus 	GQ868555	2005-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander		complete	10668.0	Homo sapiens	
GQ868554	Dengue virus 	GQ868554	2004-XX-XX	Western South America	COL	Colombia	COL/Santander		complete	10628.0	Homo sapiens	
MF173444	Dengue virus 	MF173444	2016-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
KY887607	Dengue virus 	KY887607	2005-06-XX	Western South America	COL	Colombia	COL/Santander	Floridablanca	partial	1485.0	Homo sapiens	
GQ868553	Dengue virus 	GQ868553	1999-XX-XX	Western South America	COL	Colombia	COL/Santander		complete	10625.0	Homo sapiens	
GQ868552	Dengue virus 	GQ868552	1998-XX-XX	Western South America	COL	Colombia	COL/Santander		complete	10663.0	Homo sapiens	
MK778415	Dengue virus 	MK778415	2016-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KY887608	Dengue virus 	KY887608	2015-10-XX	Western South America	COL	Colombia	COL/Valle del Cauca	Buga	partial	1485.0	Homo sapiens	
KY887618	Dengue virus 	KY887618	2014-11-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
KY887619	Dengue virus 	KY887619	2014-07-XX	Western South America	COL	Colombia	COL/Santander	Bucaramanga	partial	1485.0	Homo sapiens	
KY887609	Dengue virus 	KY887609	2010-10-XX	Western South America	COL	Colombia	COL/Santander	Floridablanca	partial	1485.0	Homo sapiens	
KY887610	Dengue virus 	KY887610	2004-03-XX	Western South America	COL	Colombia	COL/Santander	Ocana	partial	1485.0	Homo sapiens	
KY887620	Dengue virus 	KY887620	2007-02-XX	Western South America	COL	Colombia	COL/Santander	San Gil	partial	1485.0	Homo sapiens	
MK778414	Dengue virus 	MK778414	1995-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778413	Dengue virus 	MK778413	2015-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KY887621	Dengue virus 	KY887621	2014-11-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
MK778412	Dengue virus 	MK778412	2015-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
GQ868556	Dengue virus 	GQ868556	2005-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander		complete	10679.0	Homo sapiens	
MF173445	Dengue virus 	MF173445	2016-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
GQ868557	Dengue virus 	GQ868557	2005-XX-XX	Western South America	COL	Colombia	COL/Norte de Santander		complete	10668.0	Homo sapiens	
GQ868558	Dengue virus 	GQ868558	2007-XX-XX	Western South America	COL	Colombia	COL/Santander		complete	10679.0	Homo sapiens	
KU878567	Dengue virus 2	KU878567	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KY887614	Dengue virus 	KY887614	2015-03-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
KU878568	Dengue virus 2	KU878568	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KU878569	Dengue virus 2	KU878569	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KU878570	Dengue virus 2	KU878570	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KU878571	Dengue virus 2	KU878571	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KU878572	Dengue virus 2	KU878572	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KU878564	Dengue virus 2	KU878564	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KU878573	Dengue virus 2	KU878573	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KU878574	Dengue virus 2	KU878574	2014-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KU878575	Dengue virus 2	KU878575	2014-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MF173446	Dengue virus 	MF173446	2016-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
KY887616	Dengue virus 	KY887616	2015-03-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
MK778418	Dengue virus 	MK778418	2015-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778417	Dengue virus 	MK778417	2016-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KY887617	Dengue virus 	KY887617	2015-02-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
KY887615	Dengue virus 	KY887615	2014-01-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
MK778410	Dengue virus 	MK778410	1995-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778411	Dengue virus 	MK778411	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778408	Dengue virus 	MK778408	2010-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778389	Dengue virus 	MK778389	1995-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
FJ182012	Dengue virus 	FJ182012	2005-XX-XX	Western South America	COL	Colombia	COL/Guaviare		complete	10637.0	Homo sapiens	
MK778388	Dengue virus 	MK778388	1997-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
GU131947	Dengue virus 	GU131947	2007-XX-XX	Western South America	COL	Colombia	COL/Santander		complete	10623.0	Homo sapiens	
EU854294	Dengue virus 	EU854294	2005-XX-XX	Western South America	COL	Colombia	COL/Guaviare		complete	10636.0	Homo sapiens	
KY887623	Dengue virus 	KY887623	2006-04-XX	Western South America	COL	Colombia	COL/Santander	Ocana	partial	1485.0	Homo sapiens	
KY887612	Dengue virus 	KY887612	2005-XX-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
KY887613	Dengue virus 	KY887613	2014-09-XX	Western South America	COL	Colombia	COL/Santander	Piedecuesta	partial	1485.0	Homo sapiens	
KY887624	Dengue virus 	KY887624	2004-07-XX	Western South America	COL	Colombia	COL/Santander		partial	1485.0	Homo sapiens	
KY887625	Dengue virus 	KY887625	2001-11-XX	Western South America	COL	Colombia	COL/Santander	Bucaramanga	partial	1485.0	Homo sapiens	
KY887626	Dengue virus 	KY887626	2001-10-XX	Western South America	COL	Colombia	COL/Santander	Bucaramanga	partial	1485.0	Homo sapiens	
KY887627	Dengue virus 	KY887627	2015-01-XX	Western South America	COL	Colombia	COL/Santander	Giron	partial	1485.0	Homo sapiens	
KY887628	Dengue virus 	KY887628	2015-05-XX	Western South America	COL	Colombia	COL/Santander	Giron	partial	1485.0	Homo sapiens	
KY887629	Dengue virus 	KY887629	2014-01-XX	Western South America	COL	Colombia	COL/Santander	Giron	partial	1485.0	Homo sapiens	
KY887630	Dengue virus 	KY887630	1998-09-XX	Western South America	COL	Colombia	COL/Santander	Bucaramanga	partial	1485.0	Homo sapiens	
KY887631	Dengue virus 	KY887631	1998-10-XX	Western South America	COL	Colombia	COL/Santander	Bucaramanga	partial	1485.0	Homo sapiens	
MK778409	Dengue virus 	MK778409	1992-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778391	Dengue virus 	MK778391	1996-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778390	Dengue virus 	MK778390	1997-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778393	Dengue virus 	MK778393	1998-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778407	Dengue virus 	MK778407	2010-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778406	Dengue virus 	MK778406	2015-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778405	Dengue virus 	MK778405	2015-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778404	Dengue virus 	MK778404	2007-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778403	Dengue virus 	MK778403	2001-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778402	Dengue virus 	MK778402	1998-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778401	Dengue virus 	MK778401	2007-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778392	Dengue virus 	MK778392	1994-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KU878565	Dengue virus 2	KU878565	2013-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778399	Dengue virus 	MK778399	2005-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KY887611	Dengue virus 	KY887611	2008-03-XX	Western South America	COL	Colombia	COL/Santander	Barrancabermeja	partial	1485.0	Homo sapiens	
MK778398	Dengue virus 	MK778398	1997-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KY887622	Dengue virus 	KY887622	2007-08-XX	Western South America	COL	Colombia	COL/Santander	Floridablanca	partial	1485.0	Homo sapiens	
MK778397	Dengue virus 	MK778397	2007-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778396	Dengue virus 	MK778396	2001-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778395	Dengue virus 	MK778395	2002-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778394	Dengue virus 	MK778394	2006-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
MK778400	Dengue virus 	MK778400	2005-XX-XX	Western South America	COL	Colombia			partial	1485.0	Homo sapiens	
KY461756	Dengue virus 2	KY461756	2007-XX-XX	Central America	CRI	Costa Rica			partial	1485.0	Homo sapiens	
KY461758	Dengue virus 2	KY461758	2007-XX-XX	Central America	CRI	Costa Rica			partial	1485.0	Homo sapiens	
JF804030	Dengue virus 2	JF804030	2003-XX-XX	Central America	CRI	Costa Rica			partial	1485.0	Homo sapiens	
KY461757	Dengue virus 2	KY461757	2007-XX-XX	Central America	CRI	Costa Rica			partial	1485.0	Homo sapiens	
JF804031	Dengue virus 2	JF804031	2003-XX-XX	Caribbean	DOM	Dominican Republic			partial	1485.0	Homo sapiens	
FJ898451	Dengue virus 	FJ898451	2003-XX-XX	Caribbean	DOM	Dominican Republic			complete	10678.0	Homo sapiens	
MG874756	Dengue virus 2	MG874756	2016-05-04	Caribbean	DOM	Dominican Republic			partial	1399.0	Homo sapiens	
KY474325	Dengue virus 2	KY474325	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
JX051800	Dengue virus 	JX051800	2000-XX-XX	Western South America	ECU	Ecuador	ECU/Los Rios		partial	1485.0	Homo sapiens	
KY474327	Dengue virus 2	KY474327	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474328	Dengue virus 2	KY474328	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474329	Dengue virus 2	KY474329	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474331	Dengue virus 2	KY474331	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474324	Dengue virus 2	KY474324	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474332	Dengue virus 2	KY474332	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10647.0	Homo sapiens	
KY474333	Dengue virus 2	KY474333	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474334	Dengue virus 2	KY474334	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10460.0	Homo sapiens	
JX051799	Dengue virus 	JX051799	2000-XX-XX	Western South America	ECU	Ecuador	ECU/Guayas		partial	1485.0	Homo sapiens	
KY474330	Dengue virus 2	KY474330	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474323	Dengue virus 2	KY474323	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474326	Dengue virus 2	KY474326	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474312	Dengue virus 2	KY474312	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474308	Dengue virus 2	KY474308	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474309	Dengue virus 2	KY474309	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474310	Dengue virus 2	KY474310	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10647.0	Homo sapiens	
KY474311	Dengue virus 2	KY474311	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10647.0	Homo sapiens	
KY474321	Dengue virus 2	KY474321	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10647.0	Homo sapiens	
KY474313	Dengue virus 2	KY474313	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474322	Dengue virus 2	KY474322	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474315	Dengue virus 2	KY474315	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474316	Dengue virus 2	KY474316	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10647.0	Homo sapiens	
KY474317	Dengue virus 2	KY474317	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10647.0	Homo sapiens	
KY474318	Dengue virus 2	KY474318	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474319	Dengue virus 2	KY474319	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
KY474320	Dengue virus 2	KY474320	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10647.0	Homo sapiens	
KY474314	Dengue virus 2	KY474314	2014-XX-XX	Western South America	ECU	Ecuador	ECU/Machala		complete	10648.0	Homo sapiens	
JX891662	Dengue virus 	JX891662	2012-XX-XX	Central America	SLV	El Salvador			partial	1485.0	Homo sapiens	
JX891663	Dengue virus 	JX891663	2012-XX-XX	Central America	SLV	El Salvador			partial	1485.0	Homo sapiens	
MH253297	Dengue virus 2	MH253297	2015-XX-XX	Central America	SLV	El Salvador			partial	1485.0	Homo sapiens	
EU920847	Dengue virus DENV-2	EU920847	2006-04-XX	Northern South America	GUF	French Guiana			complete	10644.0		
KM087965	Dengue virus 	KM087965	2002-XX-XX	Northern South America	GUF	French Guiana			partial	1671.0	Homo sapiens	
EU920834	Dengue virus DENV-2	EU920834	2001-12-XX	Northern South America	GUF	French Guiana			complete	10676.0		
EU920835	Dengue virus DENV-2	EU920835	2002-04-XX	Northern South America	GUF	French Guiana			complete	10724.0		
EU920831	Dengue virus DENV-2	EU920831	1998-08-XX	Northern South America	GUF	French Guiana			complete	10694.0		
EU920848	Dengue virus DENV-2	EU920848	2006-04-XX	Northern South America	GUF	French Guiana			complete	10724.0		
EU920844	Dengue virus DENV-2	EU920844	2006-01-XX	Northern South America	GUF	French Guiana			complete	10724.0		
EU920845	Dengue virus DENV-2	EU920845	2006-01-XX	Northern South America	GUF	French Guiana			complete	10666.0		
EU920846	Dengue virus DENV-2	EU920846	2006-03-XX	Northern South America	GUF	French Guiana			complete	10687.0		
EU920828	Dengue virus DENV-2	EU920828	1993-02-XX	Northern South America	GUF	French Guiana			complete	10663.0		
EU920829	Dengue virus DENV-2	EU920829	1997-06-XX	Northern South America	GUF	French Guiana			complete	10724.0		
EU920830	Dengue virus DENV-2	EU920830	1998-02-XX	Northern South America	GUF	French Guiana			complete	10717.0		
EU920833	Dengue virus DENV-2	EU920833	2000-01-XX	Northern South America	GUF	French Guiana			complete	10649.0		
EU920840	Dengue virus DENV-2	EU920840	2005-10-XX	Northern South America	GUF	French Guiana			complete	10688.0		
EU920832	Dengue virus DENV-2	EU920832	1999-05-XX	Northern South America	GUF	French Guiana			complete	10698.0		
KU728207	Dengue virus 2	KU728207	2010-XX-XX	Caribbean	GRD	Grenada			partial	1395.0	Homo sapiens	
KU728204	Dengue virus 2	KU728204	2010-XX-XX	Caribbean	GRD	Grenada			partial	1395.0	Homo sapiens	
KU728205	Dengue virus 2	KU728205	2010-XX-XX	Caribbean	GRD	Grenada			partial	1395.0	Homo sapiens	
EU920850	Dengue virus DENV-2	EU920850	2006-10-XX	Caribbean	GLP	Guadeloupe			complete	10613.0		
EU920849	Dengue virus DENV-2	EU920849	2006-09-XX	Caribbean	GLP	Guadeloupe			complete	10690.0		
HQ999999	Dengue virus 2	HQ999999	2009-XX-XX	Central America	GTM	Guatemala	GTM/Guatemala City		complete	10725.0	Homo sapiens	
GU586492	Dengue virus 2	GU586492	2007-XX-XX	Central America	GTM	Guatemala			partial	1485.0	Homo sapiens	
KU509267	Dengue virus 2	KU509267	2010-XX-XX	Central America	GTM	Guatemala			complete	10567.0	Homo sapiens	
MK778387	Dengue virus 	MK778387	2010-XX-XX	Caribbean	HTI	Haiti			partial	1485.0	Homo sapiens	
KX702403	Dengue virus 	KX702403	2016-02-05	Caribbean	HTI	Haiti			complete	10724.0	Homo sapiens	
KY415992	Dengue virus 	KY415992	2014-06-11	Caribbean	HTI	Haiti			complete	10724.0	Homo sapiens	
KY882527	Dengue virus 	KY882527	2013-XX-XX	Central America	HND	Honduras			partial	1748.0	Homo sapiens	
KY851452	Dengue virus 	KY851452	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851453	Dengue virus 	KY851453	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851454	Dengue virus 	KY851454	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851451	Dengue virus 	KY851451	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851438	Dengue virus 	KY851438	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851455	Dengue virus 	KY851455	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851450	Dengue virus 	KY851450	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851437	Dengue virus 	KY851437	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851448	Dengue virus 	KY851448	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851447	Dengue virus 	KY851447	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851439	Dengue virus 	KY851439	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851446	Dengue virus 	KY851446	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851445	Dengue virus 	KY851445	2012-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851440	Dengue virus 	KY851440	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851444	Dengue virus 	KY851444	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851441	Dengue virus 	KY851441	2012-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851442	Dengue virus 	KY851442	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851443	Dengue virus 	KY851443	2012-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY851449	Dengue virus 	KY851449	2013-XX-XX	Central America	HND	Honduras			partial	1983.0	Homo sapiens	
KY882525	Dengue virus 	KY882525	2013-XX-XX	Central America	HND	Honduras			partial	1972.0	Homo sapiens	
GU586123	Dengue virus 2	GU586123	2007-XX-XX	Central America	HND	Honduras			partial	1485.0	Homo sapiens	
GU586122	Dengue virus 2	GU586122	2007-XX-XX	Central America	HND	Honduras			partial	1485.0	Homo sapiens	
JF804034	Dengue virus 2	JF804034	2008-XX-XX	Caribbean	JAM	Jamaica			partial	1485.0	Homo sapiens	
GQ199892	Dengue virus 	GQ199892	2007-XX-XX	Caribbean	JAM	Jamaica			complete	10750.0	Homo sapiens	
EU920836	Dengue virus DENV-2	EU920836	2005-06-XX	Caribbean	MTQ	Martinique			complete	10724.0		
EU920837	Dengue virus DENV-2	EU920837	2005-08-XX	Caribbean	MTQ	Martinique			complete	10717.0		
